City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Qaanaaq,GL,77.484,-69.3632,-0.31,82,50,5.23,scattered clouds
80,Leningradskiy,RU,69.3833,178.4167,-13.0,92,63,4.76,broken clouds
81,Bajil,YE,15.0584,43.2851,89.6,40,0,2.8,clear sky
82,Ostersund,SE,63.1792,14.6357,36.61,75,100,27.63,overcast clouds
83,Khatanga,RU,71.9667,102.5,1.4,98,98,1.45,overcast clouds
84,Tanete,ID,-3.9443,119.7848,72.81,96,36,1.9,scattered clouds
85,Tala,EG,30.6803,30.9429,61.81,56,4,8.41,clear sky
86,Herat,AF,34.5,62.0,66.87,37,100,11.34,overcast clouds
87,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,75,10.36,light rain
88,Beidao,CN,34.5686,105.8933,60.89,75,22,5.21,few clouds
89,Bantry,IE,51.6833,-9.45,49.78,92,100,22.66,overcast clouds
90,Kargasok,RU,59.0556,80.8572,7.38,95,49,3.62,scattered clouds
91,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,87.37,62,100,1.59,overcast clouds
92,Victoria,HK,22.2855,114.1577,77.18,84,1,5.01,clear sky
93,Vardo,NO,70.3705,31.1107,37.38,87,75,21.85,broken clouds
94,Chokurdakh,RU,70.6333,147.9167,-20.88,100,100,1.16,overcast clouds
95,Lompoc,US,34.6391,-120.4579,74.84,69,0,17.0,haze
96,Aldan,RU,58.6031,125.3894,8.92,97,74,2.57,broken clouds
97,Atuona,PF,-9.8,-139.0333,78.85,77,16,18.28,few clouds
98,Cabo San Lucas,MX,22.8909,-109.9124,80.06,55,18,7.0,few clouds
99,Korla,CN,41.7597,86.1469,61.75,41,85,3.47,overcast clouds
100,Lerwick,GB,60.1545,-1.1494,39.2,56,100,9.53,overcast clouds
101,Tasiilaq,GL,65.6145,-37.6368,30.36,77,42,3.74,scattered clouds
102,Kaitangata,NZ,-46.2817,169.8464,43.93,95,15,5.64,few clouds
103,Graciano Sanchez,MX,23.9167,-99.2833,93.69,25,0,7.63,clear sky
104,Aykhal,RU,66.0,111.5,7.88,100,69,3.22,broken clouds
105,Saint-Philippe,RE,-21.3585,55.7679,78.39,82,70,14.32,light rain
